Year,GrowthRate_SARIMA,Revenue_SARIMA,ESG_Overall_SARIMA
2026,5.039551271165523,7162.326314388281,58.48799105711561
2026,5.039551271165523,7162.326314388281,58.48799105711561
2026,5.039551271165523,7162.326314388281,58.48799105711561
2027,4.686690310439565,7812.210464266085,59.14471235125077
2027,4.686690310439565,7812.210464266085,59.14471235125077
2027,4.686690310439565,7812.210464266085,59.14471235125077
2028,4.973415683218006,8540.161116584632,59.804175280411776
2028,4.973415683218006,8540.161116584632,59.804175280411776
2028,4.973415683218006,8540.161116584632,59.804175280411776
2029,4.740430319164703,9355.555910119196,60.46639129018854
2029,4.740430319164703,9355.555910119196,60.46639129018854
2029,4.740430319164703,9355.555910119196,60.46639129018854
2030,4.929747990415915,10268.898960510931,61.13137187395323
2030,4.929747990415915,10268.898960510931,61.13137187395323
2030,4.929747990415915,10268.898960510931,61.13137187395323
